freq,eps.real,eps.imag,sig.real,sig.imag
8.123501199040767e10,-114633.8969140849,9094650.493183857,41100646.0721258,518059.3063044694
8.153477218225418e10,-114633.76227527924,9061203.635729793,41100597.79937424,519970.353554874
8.183453237410071e10,-114633.62714088437,9028001.771168552,41100549.34893651,521881.39405858907
8.213429256594724e10,-114633.49151090393,8995042.217096476,41100500.720813885,523792.4277908374
8.243405275779376e10,-114633.35538534122,8962322.330126677,41100451.91500759,525703.4547268413
8.273381294964027e10,-114633.21876419992,8929839.505182242,41100402.93151892,527614.4748418242
8.30335731414868e10,-114633.08164748356,8897591.17480468,41100353.77034913,529525.4881110097
8.333333333333333e10,-114632.94403519567,8865574.808477363,41100304.43149952,531436.4945096218
8.363309352517986e10,-114632.80592733977,8833787.91196346,41100254.91497133,533347.4940128837
8.393285371702637e10,-114632.66732391952,8802228.026658107,41100205.22076586,535258.4865960205
8.42326139088729e10,-114632.52822493853,8770892.728954371,41100155.34888443,537169.472234257
8.453237410071942e10,-114632.38863040034,8739779.629622722,41100105.299328305,539080.4509028178
8.483213429256593e10,-114632.2485403086,8708886.37320366,41100055.07209879,540991.422576928
8.513189448441246e10,-114632.10795466696,8678210.637413168,41100004.66719717,542902.3872318137
8.543165467625897e10,-114631.9668734791,8647750.132560702,41099954.08462478,544813.3448427008
8.573141486810551e10,-114631.82529674856,8617502.60097935,41099903.32438293,546724.2953848148
8.603117505995203e10,-114631.68322447914,8587465.81646795,41099852.38647293,548635.2388333828
8.633093525179855e10,-114631.54065667451,8557637.583744798,41099801.27089611,550546.1751636316
8.663069544364507e10,-114631.39759333826,8528015.737912709,41099749.97765376,552457.1043507876
8.69304556354916e10,-114631.25403447422,8498598.143935157,41099698.506747246,554368.0263700791
8.723021582733812e10,-114631.10998008604,8469382.696123198,41099646.85817791,556278.9411967334
8.752997601918465e10,-114630.96543017752,8440367.317632934,41099595.031947054,558189.8488059785
8.782973621103116e10,-114630.82038475238,8411549.959973298,41099543.02805606,560100.7491730431
8.812949640287769e10,-114630.67484381435,8382928.602523841,41099490.84650627,562011.6422731553
8.842925659472421e10,-114630.52880736734,8354501.2520623645,41099438.487299025,563922.5280815449
8.872901678657074e10,-114630.38227541497,8326265.9423021,41099385.9504357,565833.4065734404
8.902877697841725e10,-114630.23524796107,8298220.733438261,41099333.23591763,567744.2777240713
8.932853717026378e10,-114630.08772500952,8270363.711703708,41099280.3437462,569655.1415086681
8.96282973621103e10,-114629.9397065642,8242692.9889335465,41099227.273922816,571565.9979024614
8.992805755395683e10,-114629.79119262879,8215206.702138397,41099174.02644879,573476.8468806808
9.022781774580334e10,-114629.64218320725,8187903.013086234,41099120.601325534,575387.6884185574
9.052757793764987e10,-114629.49267830345,8160780.107892464,41099066.99855445,577298.522491323
9.08273381294964e10,-114629.34267792125,8133836.196618173,41099013.21813692,579209.3490742088
9.112709832134293e10,-114629.19218206446,8107069.512876269,41098959.26007432,581120.1681424462
9.142685851318944e10,-114629.04119073709,8080478.313445403,41098905.12436806,583030.9796712677
9.172661870503596e10,-114628.88970394309,8054060.877891425,41098850.81101956,584941.7836359064
9.202637889688249e10,-114628.73772168625,8027815.508196269,41098796.32003022,586852.5800115942
9.232613908872902e10,-114628.58524397058,8001740.528394051,41098741.65140143,588763.3687735646
9.262589928057553e10,-114628.4322708001,7975834.284214247,41098686.80513465,590674.1498970514
9.292565947242204e10,-114628.27880217873,7950095.142731751,41098631.78123128,592584.9233572881
9.322541966426857e10,-114628.1248381104,7924521.492023709,41098576.57969273,594495.6891295087
9.35251798561151e10,-114627.97037859914,7899111.740832956,41098521.20052047,596406.447188948
9.382494004796162e10,-114627.81542364904,7873864.318237873,41098465.64371592,598317.1975108411
9.412470023980814e10,-114627.65997326397,7848777.673328586,41098409.90928051,600227.9400704221
