temperature,direction,R,data_type,rho,sigma
33.904,-1,6375.77,raw,0.00031787014403603325,3145.938738702813
33.939,-1,6368.45,raw,0.00031750519839741334,3149.554731851429
33.96,-1,6362.95,raw,0.00031723099060883275,3152.2771406437637
33.989,-1,6356.85,raw,0.0003169268692433162,3155.302049294735
34.015,-1,6349.53,raw,0.00031656192360469623,3158.9396116026282
34.048,-1,6340.98,raw,0.0003161356551333574,3163.1990373821136
34.073,-1,6337.32,raw,0.00031595318231404743,3165.0258835058407
34.092,-1,6331.21,raw,0.00031564856238891525,3168.0803246234505
34.118,-1,6323.89,raw,0.00031528361675029534,3171.747426356125
34.147,-1,6318.4,raw,0.0003150099075213304,3174.503328700183
34.165,-1,6315.35,raw,0.00031485784683857207,3176.036455946105
34.197,-1,6309.24,raw,0.00031455322691343983,3179.1121960900578
34.216,-1,6302.53,raw,0.00031421869341137157,3182.496843657902
34.24,-1,6297.65,raw,0.0003139753963189583,3184.9629357076424
34.266,-1,6289.71,raw,0.0003135795399841711,3188.983567137314
34.299,-1,6284.83,raw,0.0003133362428917578,3191.459726366383
34.32,-1,6280.56,raw,0.0003131233579358962,3193.6295222176423
34.341,-1,6276.28,raw,0.00031290997442041897,3195.807362332343
34.36,-1,6268.35,raw,0.0003125146166452474,3199.8503325531015
34.392,-1,6261.63,raw,0.0003121795845835635,3203.2844214779916
34.414,-1,6257.97,raw,0.00031199711176425356,3205.1578758062496
34.444,-1,6250.04,raw,0.00031160175398908194,3209.224554092332
34.468,-1,6243.32,raw,0.0003112667219273981,3212.6788042354447
34.498,-1,6236.61,raw,0.00031093218842532985,3216.1353414850755
34.52,-1,6231.73,raw,0.00031068889133291654,3218.6538620991664
34.537,-1,6228.07,raw,0.0003105064185136066,3220.54534262769
34.557,-1,6222.57,raw,0.00031023221072502605,3223.391915568525
34.598,-1,6214.03,raw,0.00030980644081330283,3227.8218534605135
34.632,-1,6206.7,raw,0.0003094409966150673,3231.6338524593157
34.653,-1,6203.04,raw,0.0003092585237957573,3233.5406239616764
34.682,-1,6194.5,raw,0.00030883275388403407,3237.998519986962
34.705,-1,6189.61,raw,0.0003085889582320052,3240.556647682041
34.735,-1,6181.68,raw,0.0003081936004568336,3244.7137076101053
34.76,-1,6176.19,raw,0.00030791989122786866,3247.5979255915436
34.784,-1,6172.52,raw,0.00030773691984894313,3249.5288524069965
34.805,-1,6167.64,raw,0.0003074936227565298,3252.099965636651
34.834,-1,6160.93,raw,0.00030715908925446156,3255.6418969310207
34.858,-1,6154.21,raw,0.00030682405719277767,3259.196847696006
34.885,-1,6149.33,raw,0.0003065807601003644,3261.7832889207825
34.907,-1,6143.23,raw,0.00030627663873484775,3265.0221189926533
34.929,-1,6140.17,raw,0.0003061240794924739,3266.6492673752086
34.95,-1,6134.07,raw,0.00030581995812695726,3269.897772940191
34.985,-1,6124.92,raw,0.00030536377607868234,3274.782663619972
35.004,-1,6121.25,raw,0.0003051808046997568,3276.746062006818
35.032,-1,6115.76,raw,0.00030490709547079185,3279.6875338566647
35.048,-1,6110.88,raw,0.0003046637983783786,3282.3066124779466
35.078,-1,6104.77,raw,0.0003043591784532464,3285.5917310659097
35.096,-1,6101.11,raw,0.0003041767056339364,3287.562727447831
35.118,-1,6095.01,raw,0.00030387258426841984,3290.852981711143
35.141,-1,6089.52,raw,0.0003035988750394549,3293.819846565778
35.172,-1,6083.41,raw,0.0003032942551143227,3297.128063382089
35.198,-1,6077.31,raw,0.0003029901337488061,3300.437501470097
35.223,-1,6071.21,raw,0.00030268601238328947,3303.7535898213428
35.242,-1,6066.93,raw,0.00030247262886781224,3306.084268659641
35.265,-1,6061.44,raw,0.0003021989196388473,3309.0786730643604
35.282,-1,6059.0,raw,0.0003020772710926406,3310.411261274012
35.316,-1,6050.45,raw,0.0003016510026213018,3315.0892631224515
35.342,-1,6042.52,raw,0.0003012556448461302,3319.439874764045
35.361,-1,6040.08,raw,0.00030113399629992356,3320.7808227803666
